ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0043161	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	50/875	439/18614	6.70927457704598e-09	3.37744882208495e-05	3.15830272721575e-05	PSMC2/DERL1/PSMC4/UBE2A/PSMC6/DNAJB9/PSMD13/EDEM3/PSMD14/PSMD10/SKP1/PSMA1/PSMA4/PLAA/PSMC1/ARRB1/UBXN4/NSFL1C/ZFAND2A/UBR3/ERLEC1/SELENOS/PSMA5/UFD1/PLK3/HERPUD1/CAV1/JKAMP/PSMA2/PSMB5/CLU/USP5/PSMD11/HSPA1B/UBE2H/DDIT3/MTM1/FBXO33/COMMD1/PSMB2/PSMC3/WWTR1/LRRK2/PPP2CB/PSMD2/WFS1/MAP1A/ANAPC13/IFI27/SPSB2	50
GO:0006979	GO:0006979	response to oxidative stress	47/875	434/18614	9.00557464736391e-08	0.00022667031387415	0.000211962788542165	DDR2/ADAM9/CPEB2/GLRX2/OXR1/AIFM1/PRNP/GSR/TLR6/SLC7A11/GCLM/AIFM2/ALS2/GPX8/EPAS1/PON2/SRXN1/PINK1/SELENOS/ERCC6/SOD1/FOSL1/PLK3/PRDX1/BRF2/PSMB5/MAPK13/PNPLA8/HSPA1B/NR4A2/CYP2E1/ANXA1/MAP3K5/MSRA/STX4/LRRK2/MSRB3/PPP2CB/RRM2B/MPV17L2/NME5/G6PD/RBM11/TREX1/AXL/DHRS2/ADIPOQ	47
GO:0035966	GO:0035966	response to topologically incorrect protein	25/875	164/18614	1.97398805052679e-07	0.000331235194878395	0.000309742967086168	HSPB8/DERL1/DNAJB9/EDEM3/TRAM1/DNAJC3/UBXN4/ERLEC1/SELENOS/DNAJB4/UFD1/HERPUD1/CREB3/JKAMP/CLU/HSPA1B/DDIT3/EIF2AK3/BAG3/CREB3L2/WFS1/HSPA1L/PPP1R15A/ATF3/SDF2L1	25
GO:0006986	GO:0006986	response to unfolded protein	22/875	142/18614	7.9494245529169e-07	0.00100043507998459	0.000935521752648536	HSPB8/DERL1/DNAJB9/EDEM3/TRAM1/DNAJC3/UBXN4/ERLEC1/SELENOS/DNAJB4/HERPUD1/CREB3/JKAMP/HSPA1B/DDIT3/EIF2AK3/BAG3/CREB3L2/WFS1/HSPA1L/PPP1R15A/ATF3	22
GO:0062197	GO:0062197	cellular response to chemical stress	38/875	349/18614	1.34865185937157e-06	0.00131711124114124	0.0012316503503301	DDR2/CPEB2/GLRX2/OXR1/AIFM1/GSR/TLR6/SLC7A11/AIFM2/GPX8/EPAS1/SRXN1/PINK1/SELENOS/SOD1/PRDX1/CAV1/BRF2/MAPK13/PNPLA8/HSPA1B/NR4A2/ANXA1/DDIT3/MAP3K5/MSRA/STX4/EIF2AK3/LRRK2/MPV17L2/NME5/G6PD/PLEC/RBM11/TREX1/AXL/SCN2A/DHRS2	38
GO:0045862	GO:0045862	positive regulation of proteolysis	39/875	365/18614	1.56985845189659e-06	0.00131711124114124	0.0012316503503301	BEX3/ADAM9/PSMC2/PSMC4/AIFM1/CCN2/CASP8/PSMC6/BAG2/EGF/GPER1/PSMD10/APH1B/PSMC1/ZFAND2A/PINK1/RPS27L/ANXA2/PLK3/HERPUD1/CAV1/CLU/USP5/HSPA1B/F2R/MAP3K5/EIF2AK3/PSMC3/LYN/SMAD3/LRRK2/CYFIP2/ACVR1C/CTSD/CASP10/CCN1/NLRP1/MELTF/TRIM67	39
GO:0042060	GO:0042060	wound healing	44/875	439/18614	1.93587029975945e-06	0.00139216729842701	0.00130183638804876	CD109/DDR2/TFPI/DGKG/SYT11/ITGA5/SLC7A11/EXT1/MACF1/MYOF/CD59/PLA2G4A/TNFRSF12A/ANXA2/CAV1/ELK3/ANXA1/F2R/MAP3K5/DCBLD2/C1GALT1C1/PLAUR/PROS1/LYN/SMAD3/F11R/TGFB3/DGKI/AHNAK/SERPINB2/ABAT/TGFBR2/PLEC/CCN1/TMEFF2/PLAT/AXL/FGF1/CD151/IL24/TIMP1/TEC/CCN4/SERPINE1	44
GO:0034599	GO:0034599	cellular response to oxidative stress	33/875	290/18614	2.54865398853954e-06	0.00160374052228851	0.00149968166273011	DDR2/CPEB2/GLRX2/OXR1/AIFM1/GSR/TLR6/SLC7A11/AIFM2/GPX8/EPAS1/SRXN1/PINK1/SELENOS/SOD1/PRDX1/BRF2/MAPK13/PNPLA8/HSPA1B/NR4A2/ANXA1/MAP3K5/MSRA/STX4/LRRK2/MPV17L2/NME5/G6PD/RBM11/TREX1/AXL/DHRS2	33
GO:0034976	GO:0034976	response to endoplasmic reticulum stress	30/875	259/18614	5.04562517983596e-06	0.00282218635058825	0.0026390685151142	CASP4/DERL1/AIFM1/PSMC6/DNAJB9/EDEM3/SRPX/SERINC3/CXCL8/DNAJC3/UBXN4/ERLEC1/SELENOS/UFD1/HERPUD1/CAV1/CREB3/JKAMP/CLU/DDIT3/MAP3K5/EIF2AK3/LRRK2/UFM1/PPP2CB/CREB3L2/WFS1/PPP1R15A/ATF3/SDF2L1	30
GO:0014812	GO:0014812	muscle cell migration	17/875	110/18614	1.44157995108148e-05	0.00725691347374415	0.00678604793814354	DDR2/CCN3/ADAMTS1/PLEKHO1/ANXA1/DDIT3/DOCK5/PARVA/MEF2C/LRP1/ABHD2/DOCK4/PLAT/P2RY6/CCN4/ADIPOQ/SERPINE1	17
