ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006334	GO:0006334	nucleosome assembly	29/724	118/18614	8.96595803375864e-16	4.17365346471465e-12	3.83365489822396e-12	H4C13/H4C9/H1-5/H2BC4/H2BC8/H1-4/H2BC11/H2BC13/H2BC17/H4C14/H2BC7/H1-2/H4C5/H3C15/H3C14/H3C13/H4C1/H2BC21/H3C2/H4C2/H3C7/H3C12/H4C11/H3C10/H3C11/H4C4/H1-9P/H3C1/H3C4	29
GO:0034728	GO:0034728	nucleosome organization	30/724	138/18614	1.02194799702926e-14	2.3785839630856e-11	2.18481724417518e-11	H4C13/SMARCD2/H4C9/H1-5/H2BC4/H2BC8/H1-4/H2BC11/H2BC13/H2BC17/H4C14/H2BC7/H1-2/H4C5/H3C15/H3C14/H3C13/H4C1/H2BC21/H3C2/H4C2/H3C7/H3C12/H4C11/H3C10/H3C11/H4C4/H1-9P/H3C1/H3C4	30
GO:0061644	GO:0061644	protein localization to CENP-A containing chromatin	11/724	18/18614	7.09762974356049e-12	1.10131554854247e-08	1.01159901818746e-08	H4C13/H4C9/H2BC11/H4C14/H2AC8/H4C5/H4C1/H4C2/H4C11/H2AC4/H4C4	11
GO:0065004	GO:0065004	protein-DNA complex assembly	31/724	242/18614	5.63991658814506e-09	6.56345292945381e-06	6.0287739950119e-06	H4C13/CDT1/H4C9/H1-5/H2BC4/H2BC8/H1-4/H2BC11/WNT10B/H2BC13/H2BC17/H4C14/H2BC7/H1-2/H4C5/H3C15/H3C14/H3C13/H4C1/H2BC21/H3C2/H4C2/H3C7/H3C12/H4C11/H3C10/H3C11/H4C4/H1-9P/H3C1/H3C4	31
GO:0071824	GO:0071824	protein-DNA complex subunit organization	32/724	263/18614	1.13906247868924e-08	1.06046716765968e-05	9.74078271249621e-06	H4C13/SMARCD2/CDT1/H4C9/H1-5/H2BC4/H2BC8/H1-4/H2BC11/WNT10B/H2BC13/H2BC17/H4C14/H2BC7/H1-2/H4C5/H3C15/H3C14/H3C13/H4C1/H2BC21/H3C2/H4C2/H3C7/H3C12/H4C11/H3C10/H3C11/H4C4/H1-9P/H3C1/H3C4	32
GO:0045653	GO:0045653	negative regulation of megakaryocyte differentiation	9/724	20/18614	2.21600804539368e-08	1.71925290855126e-05	1.57919731234897e-05	H4C13/H4C9/H4C14/MYB/H4C5/H4C1/H4C2/H4C11/H4C4	9
GO:0071459	GO:0071459	protein localization to chromosome, centromeric region	12/724	43/18614	5.53807819929855e-08	3.23844162638805e-05	2.97462827438256e-05	H4C13/CDT1/H4C9/H2BC11/H4C14/H2AC8/H4C5/H4C1/H4C2/H4C11/H2AC4/H4C4	12
GO:0006338	GO:0006338	chromatin remodeling	40/724	402/18614	5.56552803675713e-08	3.23844162638805e-05	2.97462827438256e-05	H4C13/SMARCD2/KCNQ1OT1/SATB1/H4C9/TET1/H1-5/H2BC4/HDAC4/H2BC8/H1-4/H2BC11/ARID1B/H2BC13/H2BC17/H4C14/DOT1L/H2BC7/H1-2/H4C5/H3C15/H3C14/H3C13/H4C1/H2BC21/H3C2/H4C2/H3C7/H3C12/ZNF274/H4C11/H3C10/KDM4D/H3C11/H4C4/EOMES/CDKN1C/H1-9P/H3C1/H3C4	40
GO:0071168	GO:0071168	protein localization to chromatin	12/724	54/18614	8.36019869263612e-07	0.000432408054602457	0.000397182772976467	H4C13/H4C9/H1-5/H2BC11/H4C14/H2AC8/H4C5/H4C1/H4C2/H4C11/H2AC4/H4C4	12
GO:0045652	GO:0045652	regulation of megakaryocyte differentiation	10/724	38/18614	1.31001574981602e-06	0.000585518827148679	0.000537820674063641	H4C13/H4C9/H4C14/MYB/H4C5/H4C1/H4C2/H4C11/MTURN/H4C4	10
GO:0050919	GO:0050919	negative chemotaxis	11/724	47/18614	1.38361054750493e-06	0.000585518827148679	0.000537820674063641	SEMA6D/SEMA6A/SEMA4D/DPP4/NRG3/SEMA7A/EPHA7/PDGFA/FLRT2/SEMA6C/SEMA3D	11
GO:0001822	GO:0001822	kidney development	31/724	310/18614	1.5710357889759e-06	0.000609430966473566	0.000559784857440359	POU3F3/PDGFD/CYP26B1/BCL2L11/ANKS6/ACVR2B/TP73/SERPINF1/PTCH1/BMP6/CNTRL/NOTCH1/CTNNBIP1/MMP17/EPHA7/DLL1/PDGFA/TGFB2/HAS2/ADAMTS16/FOXC2/WNK4/CDKN1C/SMAD6/KIF26B/OSR2/SDC1/LHX1/PLCE1/FREM2/ALDH1A2	31
GO:0006814	GO:0006814	sodium ion transport	27/724	254/18614	2.32274999469963e-06	0.000831723171178982	0.000763968459795133	SLC24A4/CNKSR3/SLC8A1/MLLT6/SCN8A/ATP1B1/FXYD3/SLC38A8/SLC6A17/ANK3/HCN1/SHROOM2/HCN3/SLC4A5/SLC5A4/SLC28A3/ASIC3/P2RX7/WNK4/DRD4/HCN2/NKAIN4/SCNN1D/SNTA1/NKAIN1/FXYD1/ATP1A3	27
GO:1903706	GO:1903706	regulation of hemopoiesis	37/724	415/18614	2.54202355777705e-06	0.000845222832960869	0.000776368397871457	H4C13/SMARCD2/SYK/PIK3R6/H4C9/TLR4/SNAI2/CYP26B1/ARID1B/WNT10B/H4C14/MYB/H4C5/FCGR2B/FAM210B/FANCA/ERBB2/H4C1/H4C2/ITPKB/SHB/CTNNBIP1/H4C11/PRKCA/CEACAM1/DLL1/MTURN/ZFPM1/NRARP/H4C4/IRF7/INHA/ZMIZ1/CEBPA/TOX/SOCS1/AGER	37
GO:0072001	GO:0072001	renal system development	31/724	320/18614	3.05962387709941e-06	0.000949503276526517	0.000872153837808969	POU3F3/PDGFD/CYP26B1/BCL2L11/ANKS6/ACVR2B/TP73/SERPINF1/PTCH1/BMP6/CNTRL/NOTCH1/CTNNBIP1/MMP17/EPHA7/DLL1/PDGFA/TGFB2/HAS2/ADAMTS16/FOXC2/WNK4/CDKN1C/SMAD6/KIF26B/OSR2/SDC1/LHX1/PLCE1/FREM2/ALDH1A2	31
GO:0045638	GO:0045638	negative regulation of myeloid cell differentiation	15/724	95/18614	3.72995829501567e-06	0.00108518474145612	0.000996782275944319	H4C13/H4C9/TLR4/H4C14/MYB/H4C5/H4C1/H4C2/ITPKB/H4C11/CEACAM1/DLL1/ZFPM1/H4C4/INHA	15
GO:0030219	GO:0030219	megakaryocyte differentiation	12/724	66/18614	7.82412577385093e-06	0.00214242973395742	0.00196790086027136	H4C13/H4C9/H4C14/MYB/H4C5/H4C1/H4C2/H4C11/MTURN/ZFPM1/H4C4/MAF	12
GO:0048762	GO:0048762	mesenchymal cell differentiation	25/724	255/18614	2.22193652227929e-05	0.00574617472845004	0.00527807377397571	SEMA6D/LDLRAD4/DAB2/SEMA6A/SNAI2/SEMA4D/NOTCH1/SEMA7A/GBX2/RADIL/TGFB2/HAS2/ZNF703/MARK1/AKNA/FOXC2/MCRIP1/DAB2IP/EOMES/IL17RD/NRTN/OLFM1/SEMA6C/SEMA3D/ALDH1A2	25
GO:0035725	GO:0035725	sodium ion transmembrane transport	20/724	181/18614	2.65850580123125e-05	0.00651333921301657	0.00598274269507	SLC24A4/CNKSR3/SLC8A1/ATP1B1/FXYD3/SLC6A17/ANK3/HCN1/SHROOM2/HCN3/SLC4A5/SLC28A3/ASIC3/WNK4/DRD4/HCN2/SCNN1D/SNTA1/FXYD1/ATP1A3	20
GO:0002028	GO:0002028	regulation of sodium ion transport	13/724	92/18614	5.5007774272715e-05	0.0128030594619744	0.0117600831103036	CNKSR3/SLC8A1/MLLT6/ATP1B1/FXYD3/ANK3/P2RX7/WNK4/DRD4/NKAIN4/SNTA1/NKAIN1/FXYD1	13
GO:0014032	GO:0014032	neural crest cell development	12/724	82/18614	7.45998767754038e-05	0.0165363060185478	0.0151892079930672	SEMA6D/SEMA6A/SNAI2/SEMA4D/SEMA7A/GBX2/RADIL/FOXC2/NRTN/SEMA6C/SEMA3D/ALDH1A2	12
GO:0030900	GO:0030900	forebrain development	32/724	397/18614	8.60378691970234e-05	0.0182048309596429	0.0167218097932205	BNIP3/RTN4RL1/POU3F3/E2F1/POU3F1/BCAN/SLC8A1/PHACTR1/NEFL/NRG3/DCLK1/EPHB3/NOTCH1/SEMA7A/CDK5R1/DCLK2/GBX2/CDK5R2/AKNA/KCNA2/DAB2IP/EOMES/LPAR1/EFNA2/ZMIZ1/LHX1/TOX/OLIG2/RTN4R/ALDH1A2/GDF7/ATP1A3	32
GO:0010975	GO:0010975	regulation of neuron projection development	35/724	452/18614	9.11963164451443e-05	0.0184573414370499	0.0169537499954314	MINAR1/BCL11A/RTN4RL1/OBSL1/SEMA6D/DAB2/VLDLR/SEMA6A/SEMA4D/TANC2/ANKRD27/SERPINF1/NEFL/EPHB3/KIF1A/RAB17/SEMA7A/CDK5R1/PLXNC1/DPYSL3/EPHA7/MARK1/THY1/DAB2IP/ARHGAP33/LPAR1/TOX/DPYSL5/PLXNB1/RTN4R/SEMA6C/SEMA3D/KLF4/SIPA1L1/ZNF296	35
GO:0022407	GO:0022407	regulation of cell-cell adhesion	37/724	491/18614	0.000101445671637544	0.019068720701116	0.0175153244361882	MEGF10/SMARCD2/MYO10/SYK/PIK3R6/CHST2/ARID1B/WNT10B/TNFRSF13C/MYADM/DPP4/BMP6/EPHB3/FCGR2B/NOTCH1/ERBB2/IGFBP2/MAGI1/ANK3/ITPKB/SHB/PRKCA/CEACAM1/EPHA7/PTPRU/HAS2/ZNF703/AKNA/THY1/NRARP/KIF26B/ZMIZ1/LRFN3/SOCS1/TNFRSF21/AGER/KLF4	37
