"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneName","threshold"
"ENSG00000256223",1241.42299670524,4.63730977030571,0.189545396547627,24.4654307346393,3.44824537051588e-132,6.72373364796891e-128,6.72373364796891e-128,TRUE
"ENSG00000157502",1643.46872763593,6.24542386300247,0.291636079382735,21.4151276351721,9.65789768911686e-102,9.41596735200448e-98,9.41596735200448e-98,TRUE
"ENSG00000156535",3929.37182902124,3.34602814667127,0.164216706458655,20.3756866084372,2.74834287116712e-92,1.78633125482959e-88,1.78633125482959e-88,TRUE
"ENSG00000227467",547.987084291736,4.55363131387886,0.235404222350918,19.3438812116579,2.29531525970599e-83,1.11890880622518e-79,1.11890880622518e-79,TRUE
"ENSG00000117305",1949.33928676117,3.30969102728948,0.175333297094103,18.8765686959799,1.77766324892313e-79,6.93253113815042e-76,6.93253113815042e-76,TRUE
"ENSG00000176171",1001.010875968,-2.3576449404262,0.133244975400128,-17.6940626342293,4.65918623400049e-70,1.51415787294626e-66,1.51415787294626e-66,TRUE
"ENSG00000169330",508.251151210245,-2.31596933922532,0.132115054274275,-17.5299427604768,8.46546490729338e-69,2.35811571753305e-65,2.35811571753305e-65,TRUE
"ENSG00000150625",685.057512785943,6.56724227926822,0.381834719649258,17.1991753010326,2.69337595080454e-66,6.56476720809221e-63,6.56476720809221e-63,TRUE
"ENSG00000198681",582.392787439973,3.3442238463753,0.199747159896919,16.7422848369964,6.44654866896606e-63,1.39668058329077e-59,1.39668058329077e-59,TRUE
"ENSG00000205944",1731.65516794208,5.39817818180234,0.330592762178289,16.3287851380457,6.15987620508919e-60,1.20111426123034e-56,1.20111426123034e-56,TRUE
"ENSG00000070731",360.044167319706,-4.12376051494854,0.263969118475618,-15.6221323871619,5.14555685112491e-55,9.12120118546225e-52,9.12120118546225e-52,TRUE
"ENSG00000204116",1530.73687768299,2.55699716336047,0.165961427626943,15.4071774382914,1.46471053475186e-53,2.38003255976055e-50,2.38003255976055e-50,TRUE
"ENSG00000166681",1387.17634158749,1.60057070464355,0.104969544203083,15.2479532686828,1.6987505002015e-52,2.36599542881636e-49,2.36599542881636e-49,TRUE
"ENSG00000168615",4450.71175489047,1.49735866294722,0.0981884560197337,15.2498442652595,1.65026255783543e-52,2.36599542881636e-49,2.36599542881636e-49,TRUE
