"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneName","threshold"
"ENSG00000256223",1241.42299670524,4.66341177262291,0.189647435521036,24.5899015708316,1.61997950851816e-133,3.37636129165355e-129,"ZNF10",TRUE
"ENSG00000157502",1643.46872763593,5.79763890935957,0.291828247309019,19.8666131973866,7.91673155409751e-88,6.62693852495595e-84,"PWWP3B",TRUE
"ENSG00000156535",3929.37182902124,3.26212420445048,0.164278729626641,19.8572524383672,9.53882332543319e-88,6.62693852495595e-84,"CD109",TRUE
"ENSG00000169330",508.251151210245,-2.3489808531036,0.133219866812278,-17.6323615186733,1.39036563791358e-69,7.2445001563487e-66,"MINAR1",TRUE
"ENSG00000227467",547.987084291736,4.03077452970998,0.236212974549026,17.0641538103717,2.74335554799808e-65,1.14354032662752e-61,"LINC01537",TRUE
"ENSG00000150625",685.057512785943,6.36512809426228,0.382049573849332,16.6604768855795,2.53991174659568e-62,8.82280677042452e-59,"GPM6A",TRUE
"ENSG00000176171",1001.010875968,-2.17365892317327,0.133281031288495,-16.3088393161383,8.54000890921908e-60,2.54272665265634e-56,"BNIP3",TRUE
"ENSG00000166681",1387.17634158749,1.68685255379942,0.105085140942257,16.0522461946007,5.51321199760316e-58,1.43632955567556e-54,"BEX3",TRUE
"ENSG00000117305",1949.33928676117,2.81297752991659,0.175631859370886,16.0163283586058,9.82850918287394e-58,2.27606431543843e-54,"HMGCL",TRUE
"ENSG00000204116",1530.73687768299,2.57591164507033,0.166062611845572,15.5116893347779,2.89169556709641e-54,6.02687190094234e-51,"CHIC1",TRUE
"ENSG00000136861",2088.15774486049,-1.38331424505616,0.0892248932204652,-15.5036805887583,3.27576808286256e-54,6.20668712572922e-51,"CDK5RAP2",TRUE
"ENSG00000198681",582.392787439973,3.06528302414499,0.200338737911604,15.3005008222499,7.58705427708146e-53,1.31774487702443e-49,"MAGEA1",TRUE
"ENSG00000114541",416.069121798902,-3.05785614649287,0.201159435876619,-15.2011568990898,3.47430571662399e-52,5.57011382660593e-49,"FRMD4B",TRUE
"ENSG00000070731",360.044167319706,-4.01746583665004,0.264701333764936,-15.1773539615698,4.99529942198828e-52,7.43657361093427e-49,"ST6GALNAC2",TRUE
"ENSG00000123983",6434.31410834564,-1.39635276545875,0.0932549793306626,-14.9734928416807,1.09420310638056e-50,1.5203587428789e-47,"ACSL3",TRUE
"ENSG00000075213",911.171535441746,3.84622691582143,0.263715236272695,14.5847732204757,3.51086697699861e-48,4.57334309591282e-45,"SEMA3A",TRUE
"ENSG00000205944",1731.65516794208,4.77937823746703,0.330800503684368,14.4479170504143,2.58382195895327e-47,3.16776572167671e-44,"DAZ2",TRUE
"ENSG00000231817",835.890180436954,2.0772304206361,0.144047758338215,14.4204286453309,3.84944358070183e-47,4.45722795049931e-44,"LINC01198",TRUE
"ENSG00000279968",581.566686356051,4.24775815409329,0.29610709789163,14.345343912181,1.13934078744317e-46,1.24979687852056e-43,"CCDC28A-AS1",TRUE
"ENSG00000119866",90.4679586627841,-5.12395301375489,0.358009858730743,-14.3123237776772,1.83285047930253e-46,1.91001348448117e-43,"BCL11A",TRUE
"ENSG00000117724",6118.81780786967,-1.4390153739241,0.101837980264461,-14.130439058072,2.46601997808726e-45,2.44746611349023e-42,"CENPF",TRUE
"ENSG00000105855",891.671466938091,2.65910037682633,0.190876379579133,13.9310080309016,4.1052032671116e-44,3.88912029514273e-41,"ITGB8",TRUE
