"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneName","threshold"
"ENSG00000182583",219.634778769992,3.41270585097017,0.240176338838088,14.2091675952759,8.0375204449223e-46,1.20803932287182e-41,"VCX",TRUE
"ENSG00000169059",229.941623759818,3.47832187947673,0.264139100353802,13.168523231955,1.3317715183875e-39,1.00082629606821e-35,"VCX3A",TRUE
"ENSG00000216937",106.252797320402,1.92651855969749,0.219990248933834,8.75729069372036,1.99999388171877e-18,7.51497701055827e-15,"CCDC7",TRUE
"ENSG00000196700",826.875118980282,-1.40402452342541,0.168506701483843,-8.33215837151755,7.93816601471015e-17,1.70443764572991e-13,"ZNF512B",TRUE
"ENSG00000091844",187.052016780051,1.81705120042552,0.217804858112329,8.34256506569016,7.26961452247204e-17,1.70443764572991e-13,"RGS17",TRUE
"ENSG00000120913",73.5867589085081,2.79092616418255,0.336347482432064,8.29774655663216,1.06104731641109e-16,1.99344264570733e-13,"PDLIM2",TRUE
"ENSG00000101197",538.466693648582,-2.95922410751217,0.360005977753126,-8.21993047443633,2.03621190457477e-16,3.40047388063986e-13,"BIRC7",TRUE
"ENSG00000120029",601.297745648301,1.21514414302126,0.154416396041712,7.86926890000081,3.5671970313397e-15,4.87408830736688e-12,"ARMH3",TRUE
"ENSG00000105559",278.148499689506,1.74684706469162,0.232142287658798,7.52489812308187,5.27614471569941e-14,6.10003500592016e-11,"PLEKHA4",TRUE
"ENSG00000085871",172.954007809841,1.36753096724968,0.181985170470136,7.51451870345718,5.71206828409363e-14,6.13231330785195e-11,"MGST2",TRUE
"ENSG00000116729",998.164937449304,1.146427186695,0.157039046761557,7.30026837488193,2.87194298040041e-13,2.53913547031872e-10,"WLS",TRUE
"ENSG00000076067",682.917030736926,1.13105569643424,0.15801832881399,7.15775002130073,8.20119261745685e-13,6.84799583557647e-10,"RBMS2",TRUE
"ENSG00000065361",585.994031020415,2.46171806820561,0.34729757305529,7.088209821189,1.3585788700018e-12,1.07470739032248e-09,"ERBB3",TRUE
"ENSG00000105516",93.6304401032796,-2.14724946196696,0.305707392732769,-7.02387156153582,2.1580320216724e-12,1.62176106428681e-09,"DBP",TRUE
"ENSG00000140961",263.308246652912,-1.42046569904459,0.210262097683392,-6.75569070552838,1.42156386937669e-11,1.01743356936817e-08,"OSGIN1",TRUE
"ENSG00000205642",18.9344866497039,5.11575361319573,0.804958135482784,6.35530394400883,2.0801490269922e-10,1.35933216850838e-07,"VCX3B",TRUE
"ENSG00000204388",2166.47135798287,-1.56499572533287,0.247527047271709,-6.3225241143647,2.5732485075937e-10,1.61149687788055e-07,"HSPA1B",TRUE
"ENSG00000136425",87.3529150975741,1.5503958577885,0.246215791732543,6.29689853310732,3.03659906013575e-10,1.82560335495361e-07,"CIB2",TRUE
"ENSG00000183674",722.33672764326,1.49250701730785,0.248886271800374,5.9967430365342,2.01314231826171e-09,1.16237382493749e-06,"LINC00518",TRUE
"ENSG00000154734",228.114377634386,-1.09754883138896,0.183574474776787,-5.97876601702659,2.24834223497014e-09,1.20687799255718e-06,"ADAMTS1",TRUE
"ENSG00000112139",207.739368103856,1.58505804610819,0.266080490479172,5.95706225305632,2.56812436826914e-09,1.28663030850284e-06,"MDGA1",TRUE
"ENSG00000167513",621.494477629254,-1.56321495840369,0.26401379523809,-5.92095938393661,3.20068908138427e-09,1.55181796429696e-06,"CDT1",TRUE
"ENSG00000119632",97.2187546016913,-1.77056647175978,0.299837893586177,-5.90507907650738,3.52477638704761e-09,1.60537542719168e-06,"IFI27L2",TRUE
"ENSG00000140450",316.975660417069,-2.12205297105954,0.366109734178348,-5.7962211133829,6.78258265361612e-09,2.91263477953858e-06,"ARRDC4",TRUE
"ENSG00000164181",106.870382184376,1.10035636797001,0.192667445671864,5.71116912944416,1.12202668035626e-08,4.55785432587962e-06,"ELOVL7",TRUE
"ENSG00000197457",203.942397831465,-1.4691397209097,0.261492944700344,-5.61827670950454,1.92871440590511e-08,7.43296859506509e-06,"STMN3",TRUE
"ENSG00000123364",119.334099381077,1.01908701511802,0.182405298992489,5.58693755470332,2.31108778188474e-08,8.68391234043191e-06,"HOXC13",TRUE
"ENSG00000249937",1739.22226907722,1.11629333915273,0.200053737713089,5.57996742232172,2.40563636835185e-08,8.8187108820313e-06,"LINC02223",TRUE
