Name	Control_Rep1	Control_Rep2	sgRNA6_D3_Rep1	sgRNA6_D3_Rep2	sgRNA7_D3_Rep1	sgRNA7_D3_Rep2	sgRNA6_D5_Rep1	sgRNA6_D5_Rep2	sgRNA7_D5_Rep1	sgRNA7_D5_Rep2
ENSG00000211838	0	0	0	0	0	0	0	0	0	0
ENSG00000211834	0	0	0	0	0	0	0	0	0	0
ENSG00000266563	0	0	0	0	0	0	0	0	0	0
ENSG00000211831	0	0	0	0	0	0	0	0	0	0
ENSG00000248286	0	0	0	0	0	0	0	0	0	0
ENSG00000211829	0	0	0	0	0	0	0	0	0	0
ENSG00000211828	0	0	0	0	0	0	0	0	0	0
ENSG00000259042	0	0	0	0	0	0	0	0	0	0
ENSG00000256221	0	0	0	0	0	0	0	0	0	0
ENSG00000211820	0	0	0	0	0	0	0	0	0	0
ENSG00000211819	0	0	0	0	0	0	0	0	0	0
ENSG00000275146	0	0	0	0	0	0	0	0	0	0
ENSG00000211817	0	0	0	0	0	0	0	0	0	0
ENSG00000261630	0	0	0	1	0	0	0	0	0	1
ENSG00000211816	0	0	0	0	0	0	0	0	0	0
ENSG00000102931	490	457.001	850.067	1071.99	952.949	1506.75	979.157	1510.83	1290.83	893.66
ENSG00000251002	0	1	1	2	0	5	7	2	6.001	8
ENSG00000211810	0	0	0	0	0	0	0	0	0	0
ENSG00000258835	0	0	0	0	0	0	0	0	0	0
ENSG00000174038	0	0	0	0	0	0	0	0	1	0
ENSG00000211808	0	0	0	0	0	0	0	0	0	0
ENSG00000211804	0	0	0	0	0	0	0	0	0	0
ENSG00000239994	0	0	0	0	0	0	0	0	0	0
ENSG00000274102	0	0	0	0	0	0	0	0	0	0
ENSG00000211803	0	0	0	0	0	0	0	0	0	0
ENSG00000211802	0	0	0	0	0	0	0	0	0	0
ENSG00000285817	0	0	0	0	0	0	0	0	0	0
ENSG00000167977	250.034	293.316	467.937	354.786	493.558	664.31	564.144	583.382	616.194	348
ENSG00000276428	0	0	0	0	0	0	0	0	0	0
ENSG00000237499	107	98.006	107.001	91	126.001	111.999	136.082	171.13	139.001	100
ENSG00000258705	0	0	0	0	0	0	0	0	0	0
ENSG00000212389	0	0	0	0	0	0	0	0	0	0
ENSG00000211798	0	3	0	1	1	0	1	0	0	4
ENSG00000230709	0	0	0	0	0	0	0	0	0	0
ENSG00000211797	0	0	0	0	0	0	0	0	0	0
ENSG00000211796	0	0	0	0	0	0	0	0	0	0
ENSG00000176654	0	0	0	0	0	0	0	0	0	0
ENSG00000211792	0	0	0	0	0	0	0	0	0	0
ENSG00000256379	0	0	0	0	0	0	0	0	0	0
ENSG00000211790	0	0	0	0	0	0	0	0	0	0
ENSG00000211787	0	0	0	0	0	0	0	0	0	0
ENSG00000211786	0	0	0	0	0	0	0	0	0	0
ENSG00000262692	0	0	0	0	0	0	0	0	0	0
ENSG00000211783	0	0	0	0	0	0	0	0	0	0
ENSG00000238923	0	0	0	0	0	0	0	0	0	0
ENSG00000211779	0	0	0	0	0	0	0	0	0	0
ENSG00000211777	0	0	0	0	0	0	0	0	0	0
ENSG00000235214	0	2	1	0	0	1	0	3	1	0
ENSG00000248358	0	0	0	0	0	0	0	0	0	0
ENSG00000274512	138.592	155.364	214.638	285.043	252.648	279.021	231.47	244.489	239.788	162.054
ENSG00000255582	0	0	0	0	0	0	0	0	0	0
ENSG00000255569	0	0	0	0	0	0	0	0	0	0
ENSG00000235146	0	0	0	0	0	0	0	0	0	0
ENSG00000169208	0	0	0	0	0	0	0	0	0	0
ENSG00000165819	656.975	610.001	755.999	1220.46	873	920.518	1055.44	1780.25	1109.2	1034.09
ENSG00000234238	0	0	0	0	0	0	0	0	0	0
ENSG00000129472	386.203	364	551	652.001	673.001	983.571	722	921.356	742.28	534
