Name	501mel_RepI	501mel_RepII	501mel_sg6_XLOC_d3_I	501mel_sg6_XLOC_d3_II	501mel_sg7_XLOC_d3_I	501mel_sg7_XLOC_d3_II	501mel_sg6_XLOC_d5_I	501mel_sg6_XLOC_d5_II	501mel_sg7_XLOC_d5_I	501mel_sg7_XLOC_d5_II
ENSG00000211838	0	0	0	0	0	0	0	0	0	0
ENSG00000211834	0	0	0	0	0	0	0	0	0	0
ENSG00000266563	0	0	0	0	0	0	0	0	0	0
ENSG00000211831	0	0	0	0	0	0	0	0	0	0
ENSG00000248286	0	0	0	0	0	0	0	0	0	0
ENSG00000211829	0	0	0	0	0	0	0	0	0	0
ENSG00000211828	0	0	0	0	0	0	0	0	0	0
ENSG00000259042	0	0	0	0	0	0	0	0	0	0
ENSG00000256221	0	0	0	0	0	0	0	0	0	0
ENSG00000211820	0	0	0	0	0	0	0	0	0	0
ENSG00000211819	0	0	0	0	0	0	0	0	0	0
ENSG00000275146	0	0	0	0	0	0	0	0	0	0
ENSG00000211817	0	0	0	0	0	0	0	0	0	0
ENSG00000261630	0	0	0	0.130576	0	0	0	0	0	0.153689
ENSG00000211816	0	0	0	0	0	0	0	0	0	0
ENSG00000102931	14.484	14.473	24.9372	29.1457	25.3508	36.8618	22.7457	27.7932	30.4158	27.3626
ENSG00000251002	0	0.031995	0.01261	0.111455	0	0.306972	0.10999	0.016209	0.320109	0.421771
ENSG00000211810	0	0	0	0	0	0	0	0	0	0
ENSG00000258835	0	0	0	0	0	0	0	0	0	0
ENSG00000174038	0	0	0	0	0	0	0	0	0.012994	0
ENSG00000211808	0	0	0	0	0	0	0	0	0	0
ENSG00000211804	0	0	0	0	0	0	0	0	0	0
ENSG00000239994	0	0	0	0	0	0	0	0	0	0
ENSG00000274102	0	0	0	0	0	0	0	0	0	0
ENSG00000211803	0	0	0	0	0	0	0	0	0	0
ENSG00000211802	0	0	0	0	0	0	0	0	0	0
ENSG00000285817	0	0	0	0	0	0	0	0	0	0
ENSG00000167977	6.44678	8.13056	11.3528	7.76547	11.3292	14.4363	10.8059	9.10826	10.946	8.645
ENSG00000276428	0	0	0	0	0	0	0	0	0	0
ENSG00000237499	5.80197	6.60538	7.3721	4.43149	8.10141	5.84401	6.45439	6.60131	7.1692	6.30572
ENSG00000258705	0	0	0	0	0	0	0	0	0	0
ENSG00000212389	0	0	0	0	0	0	0	0	0	0
ENSG00000211798	0	0.680516	0	0.185187	0.185913	0	0.16539	0	0	0.867798
ENSG00000230709	0	0	0	0	0	0	0	0	0	0
ENSG00000211797	0	0	0	0	0	0	0	0	0	0
ENSG00000211796	0	0	0	0	0	0	0	0	0	0
ENSG00000176654	0	0	0	0	0	0	0	0	0	0
ENSG00000211792	0	0	0	0	0	0	0	0	0	0
ENSG00000256379	0	0	0	0	0	0	0	0	0	0
ENSG00000211790	0	0	0	0	0	0	0	0	0	0
ENSG00000211787	0	0	0	0	0	0	0	0	0	0
ENSG00000211786	0	0	0	0	0	0	0	0	0	0
ENSG00000262692	0	0	0	0	0	0	0	0	0	0
ENSG00000211783	0	0	0	0	0	0	0	0	0	0
ENSG00000238923	0	0	0	0	0	0	0	0	0	0
ENSG00000211779	0	0	0	0	0	0	0	0	0	0
ENSG00000211777	0	0	0	0	0	0	0	0	0	0
ENSG00000235214	0	0.672564	0.306457	0	0	0.261739	0	0.567729	0.236479	0
ENSG00000248358	0	0	0	0	0	0	0	0	0	0
ENSG00000274512	3.71867	4.46863	5.56991	6.67886	6.10692	6.19229	4.82026	4.06622	4.77655	4.507
ENSG00000255582	0	0	0	0	0	0	0	0	0	0
ENSG00000255569	0	0	0	0	0	0	0	0	0	0
ENSG00000235146	0	0	0	0	0	0	0	0	0	0
ENSG00000169208	0	0	0	0	0	0	0	0	0	0
