term,p-value,q-value
LINC01711,4.02000707466323e-06,0.014789606027686022
LINC00973,1.1835626628143359e-05,0.021771635182469707
LINC00500,0.0002292780899791507,0.1288577716642507
LINC00499,0.0002292780899791507,0.1288577716642507
LINC02552,0.0002292780899791507,0.1288577716642507
ZNF790-AS1,0.0002292780899791507,0.1288577716642507
DCTN1-AS1,0.000560403464699106,0.1288577716642507
PLCL2-AS1,0.000560403464699106,0.1288577716642507
BASP1-AS1,0.000560403464699106,0.1288577716642507
LINC02210-CRHR1,0.000560403464699106,0.1288577716642507
LINC02157,0.000560403464699106,0.1288577716642507
LINC02392,0.000560403464699106,0.1288577716642507
LINC01060,0.000560403464699106,0.1288577716642507
LINC02119,0.000560403464699106,0.1288577716642507
LINC01918,0.000560403464699106,0.1288577716642507
LINC00972,0.000560403464699106,0.1288577716642507
NR2F2-AS1,0.001305075341473428,0.17147757790288362
SNCA-AS1,0.001305075341473428,0.17147757790288362
P3H2-AS1,0.001305075341473428,0.17147757790288362
MRPS9-AS2,0.001305075341473428,0.17147757790288362
LINC02622,0.001305075341473428,0.17147757790288362
LINC02376,0.001305075341473428,0.17147757790288362
LINC01537,0.001305075341473428,0.17147757790288362
LINC02735,0.001305075341473428,0.17147757790288362
LINC02199,0.001305075341473428,0.17147757790288362
LINC00942,0.001305075341473428,0.17147757790288362
LINC01502,0.001305075341473428,0.17147757790288362
LINC02454,0.001305075341473428,0.17147757790288362
ROR1-AS1,0.0028934860762285827,0.25963744571816966
DDIT4-AS1,0.0028934860762285827,0.25963744571816966
TGFB3-AS1,0.0028934860762285827,0.25963744571816966
ADAMTS9-AS2,0.0028934860762285827,0.25963744571816966
CNIH3-AS1,0.0028934860762285827,0.25963744571816966
LINC00662,0.0028934860762285827,0.25963744571816966
LINC02248,0.0028934860762285827,0.25963744571816966
LINC02742,0.0028934860762285827,0.25963744571816966
LINC00900,0.0028934860762285827,0.25963744571816966
LINC00326,0.0028934860762285827,0.25963744571816966
LINC01449,0.0028934860762285827,0.25963744571816966
LINC01870,0.0028934860762285827,0.25963744571816966
LINC01858,0.0028934860762285827,0.25963744571816966
PRKG1-AS1,0.0061024580193859475,0.4236026991192623
RORB-AS1,0.0061024580193859475,0.4236026991192623
LINC01173,0.0061024580193859475,0.4236026991192623
LINC02236,0.0061024580193859475,0.4236026991192623
LINC02462,0.0061024580193859475,0.4236026991192623
LINC00664,0.0061024580193859475,0.4236026991192623
LINC01937,0.0061024580193859475,0.4236026991192623
LINC01739,0.0061024580193859475,0.4236026991192623
LINC01940,0.0061024580193859475,0.4236026991192623
LINC00297,0.0061024580193859475,0.4236026991192623
LINC00943,0.0061024580193859475,0.4236026991192623
LINC00698,0.0061024580193859475,0.4236026991192623
PSG8-AS1,0.012232917026897177,0.592169759762562
LAMA4-AS1,0.012232917026897177,0.592169759762562
LHFPL3-AS1,0.012232917026897177,0.592169759762562
IL1R1-AS1,0.012232917026897177,0.592169759762562
SYP-AS1,0.012232917026897177,0.592169759762562
SCN1A-AS1,0.012232917026897177,0.592169759762562
ZNF571-AS1,0.012232917026897177,0.592169759762562
AFAP1-AS1,0.012232917026897177,0.592169759762562
MYT1L-AS1,0.012232917026897177,0.592169759762562
ITGA9-AS1,0.012232917026897177,0.592169759762562
LINC02351,0.012232917026897177,0.592169759762562
PKNOX2-AS1,0.012232917026897177,0.592169759762562
LINC02188,0.012232917026897177,0.592169759762562
LINC02338,0.012232917026897177,0.592169759762562
LINC01116,0.012232917026897177,0.592169759762562
LINC00486,0.012232917026897177,0.592169759762562
LINC02596,0.012232917026897177,0.592169759762562
LINC00629,0.012232917026897177,0.592169759762562
LINC01920,0.012232917026897177,0.592169759762562
