term,p-value,q-value
SUZ12 20075857 ChIP-Seq MESCs Mouse,8.732786949464408e-21,6.575788572946699e-18
EZH2 27294783 Chip-Seq ESCs Mouse,1.6184416690050777e-17,6.093432883804117e-15
MTF2 20144788 ChIP-Seq MESCs Mouse,9.562311401835854e-16,2.4001401618607993e-13
RNF2 18974828 ChIP-Seq MESCs Mouse,1.1949919888082152e-14,1.3711733533678172e-12
EZH2 18974828 ChIP-Seq MESCs Mouse,1.1949919888082152e-14,1.3711733533678172e-12
RNF2 27304074 Chip-Seq ESCs Mouse,1.228542076896927e-14,1.3711733533678172e-12
SUZ12 18974828 ChIP-Seq MESCs Mouse,1.2746631439010254e-14,1.3711733533678172e-12
MBD3 35695185 ChIP-Seq nicBasalRootGanglia Mouse Embryo,7.182207708878096e-14,6.418519994378279e-12
SUZ12 27294783 Chip-Seq ESCs Mouse,7.671537841886388e-14,6.418519994378279e-12
SUZ12 18692474 ChIP-Seq MESCs Mouse,1.3233909798161638e-13,9.965134078015713e-12
SUZ12 18555785 ChIP-Seq MESCs Mouse,2.408432563147702e-12,1.6486815636820179e-10
MITF 21258399 ChIP-Seq MELANOMA Human,2.7005634536775706e-12,1.6946035671826755e-10
JARID2 20064375 ChIP-Seq MESCs Mouse,1.6368485328525555e-11,9.481130347984416e-10
RING1B 27294783 Chip-Seq ESCs Mouse,3.767224009869285e-11,2.0262283424511227e-09
SUZ12 18692474 ChIP-Seq MEFs Mouse,1.2954712241922195e-10,6.503265545444942e-09
SUZ12 16625203 ChIP-ChIP MESCs Mouse,2.1322881648017008e-10,1.0035081175598004e-08
KDM2B 26808549 Chip-Seq K562 Human,3.520010697101639e-10,1.5591576793632555e-08
RING1B 27294783 Chip-Seq NPCs Mouse,5.682593652818398e-10,2.3772183447623632e-08
JARID2 20075857 ChIP-Seq MESCs Mouse,4.057496807488503e-09,1.6080500505467593e-07
EZH2 23942234 ChIP-Seq MYOBLASTS AND MYOTUBES Mouse,1.5491544423578497e-08,5.832566475477304e-07
EGR1 20690147 ChIP-Seq ERYTHROLEUKEMIA Human,1.6949586791389174e-07,6.077637549483832e-06
ZNF217 24962896 ChIP-Seq MCF-7 Human,3.6477202672648427e-07,1.2485151642047392e-05
REST 21632747 ChIP-Seq MESCs Mouse,1.4208745006473215e-06,4.6518195608149264e-05
PAX3-FKHR 20663909 ChIP-Seq RHABDOMYOSARCOMA Human,2.056855654970857e-06,6.453384617471064e-05
TP53 20018659 ChIP-ChIP R1E Mouse,2.433108858893383e-06,7.32852388298687e-05
CHD4 35695185 ChIP-Seq nicBasalRootGanglia Mouse Embryo,2.9902455246037453e-06,8.660211077025462e-05
EZH2 27304074 Chip-Seq ESCs Mouse,4.595020990827592e-06,0.00012815002985530285
RNF2 16625203 ChIP-ChIP MESCs Mouse,6.343543916334552e-06,0.00017059602032142563
WT1 25993318 ChIP-Seq PODOCYTE Human,8.325405234886277e-06,0.00021617345316790918
KDM2B 26808549 Chip-Seq SUP-B15 Human,1.1602143886324154e-05,0.0002912138115467363
SMAD4 21741376 ChIP-Seq HESCs Human,1.2622203623395698e-05,0.0003065973976908697
EED 16625203 ChIP-ChIP MESCs Mouse,2.0393484636353502e-05,0.0004798841853491933
HAND2 30127528 ChIP-Seq KELLY Human Brain Neuroblastoma,3.713616163592346e-05,0.0008473796882378898
SOX9 26525672 Chip-Seq Limbbuds Mouse,4.6891917212328816e-05,0.0010385180488495177
KDM2B 26808549 Chip-Seq JURKAT Human,7.542536475946848e-05,0.0016227228475394222
NR3C1 34362910 ChIP-Seq WistarRat Hippocampus Stress,8.517277967780403e-05,0.0017815306415940677
NR1H3 23393188 ChIP-Seq ATHEROSCLEROTIC-FOAM Human,0.00010442498812267753,0.002123498575718924
EP300 20729851 ChIP-Seq FORBRAIN MIDBRAIN LIMB HEART Mouse,0.00010716194671622725,0.002123498575718924
NR3C2 34362910 ChIP-Seq WistarRat Hippocampus,0.0001208268517544706,0.0023328876761824708
GATA2 21571218 ChIP-Seq MEGAKARYOCYTES Human,0.00018282626351165702,0.0034417044106069433
CBX2 27304074 Chip-Seq ESCs Mouse,0.00028287278525700014,0.00519520017801271
PHC1 16625203 ChIP-ChIP MESCs Mouse,0.00029180631717222927,0.005231670400730681
SMAD3 30307970 ChIP-Seq HCASMC Human CoronaryArtery,0.0003378071293153972,0.005915552752895212
SOX2 21211035 ChIP-Seq LN229 Gbm,0.0003740979950051338,0.006402177050883312
LXR 22292898 ChIP-Seq THP-1 Human,0.0004410145774607039,0.007379643929509113
SMAD3 22036565 ChIP-Seq ESCs Mouse,0.00046127389879833567,0.007476040428009029
OLIG2 26023283 ChIP-Seq AINV15 Mouse,0.000466632005466699,0.007476040428009029
TBX2 33478486 ChIP-Seq IMR90 Human Lung,0.0005285541907905576,0.008291693868026872
ESR1 22446102 ChIP-Seq UTERUS Mouse,0.0006851447532150931,0.010528857125938063
RNF2 27304074 Chip-Seq NSC Mouse,0.0008639202078750739,0.013010638330598614
ESR2 21235772 ChIP-Seq MCF-7 Human,0.0009059138379341251,0.013375551371850907
EZH2 27294783 Chip-Seq NPCs Mouse,0.0010404586624079462,0.015066641784484297
AR 19668381 ChIP-Seq PC3 Human,0.0010976653102912762,0.015595131672628887
SOX9 26525672 Chip-Seq HEART Mouse,0.0011325876610275996,0.015793305717662638
SMAD3 21741376 ChIP-Seq EPCs Human,0.0011634720634027546,0.015928990249859533
OCT4 21477851 ChIP-Seq ESCs Mouse,0.0013183650836296036,0.017203689219904544
LMO2 26923725 Chip-Seq HEMOGENIC-ENDOTHELIUM Mouse,0.0013183650836296036,0.017203689219904544
GTF3C2 35216376 ChIP-Seq H9 Human BoneMarrow Lymphoma,0.0013251181603644935,0.017203689219904544
SOX2 20726797 ChIP-Seq SW620 Human,0.0017045242744280573,0.021754352180412325
MNX1 26342078 ChIP-Seq MIN6-4N Mouse,0.0019133763229934493,0.02401287285356779
CDX2 21402776 ChIP-Seq INTESTINAL-VILLUS Mouse,0.0023785688117901106,0.029054503782508727
ESR1 30970003 ChIP-Seq MCF-7 Human BreastCancer,0.0023922698997550346,0.029054503782508727
TCF3 18467660 ChIP-ChIP MESCs Mouse,0.002653115746445249,0.03171105011227417
MYC 30127528 ChIP-Seq KELLY Human Brain Neuroblastoma,0.0028218204134699684,0.0332004808022326
ERG 21242973 ChIP-ChIP JURKAT Human,0.003073633271834602,0.03560685928756085
PCGF2 27294783 Chip-Seq NPCs Mouse,0.003199635412512971,0.03650493129730707
TFAP2C 20629094 ChIP-Seq MCF-7 Human,0.0034869977212880223,0.03918969080790867
ZFP281 18757296 ChIP-ChIP E14 Mouse,0.004014532657893114,0.04445504546166933
GATA1 19941826 ChIP-Seq K562 Human,0.004112038873569665,0.0448748590115646
TP63 17297297 ChIP-ChIP HaCaT Human,0.004324926319617959,0.0458968884494141
REST 18959480 ChIP-ChIP MESCs Mouse,0.004327595059639311,0.0458968884494141
SMARCD1 25818293 ChIP-Seq ESCs Mouse,0.005388641212998246,0.056356206019273325
HIF1A 21447827 ChIP-Seq MCF-7 Human,0.006440294269141817,0.06643207650224368
SOX6 21985497 ChIP-Seq MYOTUBES Mouse,0.006565571264761235,0.06680912381574608
TCF4 22108803 ChIP-Seq LS180 Human,0.0068801824582007025,0.06907703188033505
TP63 19390658 ChIP-ChIP HaCaT Human,0.007961510084368751,0.0788818038622325
SMAD3 21741376 ChIP-Seq HESCs Human,0.008282235662323641,0.08099381108739873
BMI1 23680149 ChIP-Seq NPCS Mouse,0.008885088966113624,0.08517422690262184
NFE2 27457419 Chip-Seq LIVER Mouse,0.009022884062431381,0.08517422690262184
NR3C2 34362910 ChIP-Seq WistarRat Hippocampus Stress,0.009153479424044797,0.08517422690262184
TCF4 23295773 ChIP-Seq U87 Human,0.009162167834146574,0.08517422690262184
PCGF2 27294783 Chip-Seq ESCs Mouse,0.009700671753496645,0.08908055890710943
GATA1 21571218 ChIP-Seq MEGAKARYOCYTES Human,0.010290250214496822,0.09335612543995309
MYCN 21190229 ChIP-Seq SHEP-21N Human,0.010707912489146975,0.0959887869562818
LEF1 29337183 ChIP-Seq mESC Mouse Stem,0.01182319135548129,0.10473956577267544
SCL 19346495 ChIP-Seq HPC-7 Human,0.013859713939685488,0.1213530767044555
DROSHA 22980978 ChIP-Seq HELA Human,0.014406070819309055,0.12468702674643353
TAL1 26923725 Chip-Seq HEMANGIOBLAST Mouse,0.015918220753238742,0.13497424874491107
ESR1 15608294 ChIP-ChIP MCF-7 Human,0.015953131657765053,0.13497424874491107
RUNX1 27514584 Chip-Seq MCF-7 Human,0.016598305244999355,0.1359917509783145
KDM2B 26808549 Chip-Seq DND41 Human,0.01672530479665139,0.1359917509783145
AHR 22903824 ChIP-Seq MCF-7 Human,0.01674692937003448,0.1359917509783145
CDX2 20551321 ChIP-Seq CACO-2 Human,0.01679579394552888,0.1359917509783145
NR3C1 34362910 ChIP-Seq WistarRat Hippocampus,0.01703304368264316,0.1364455520535138
TRIM28 21343339 ChIP-Seq HEK293 Human,0.017414930766815735,0.1380362407096026
ARNT 22903824 ChIP-Seq MCF-7 Human,0.017806985001232564,0.1396735386034179
CTBP2 25329375 ChIP-Seq LNCAP Human,0.01813228785699866,0.14070466256736405
TET1 21490601 ChIP-Seq MESCs Mouse,0.018312160599736622,0.14070466256736405
STAT3 24763339 ChIP-Seq IMN-ESCs Mouse,0.018615791884016318,0.14159284129963928
RCOR2 21632747 ChIP-Seq MESCs Mouse,0.019525438585273926,0.14702655254711267
P300 19829295 ChIP-Seq ESCs Human,0.02011811400219015,0.14998950340246717
CRX 20693478 ChIP-Seq RETINA Mouse,0.020603729001163258,0.1510200424260685
LMO2 26923725 Chip-Seq HEMANGIOBLAST Mouse,0.020731528861243742,0.1510200424260685
SMAD2/3 21741376 ChIP-Seq EPCs Human,0.021011598476432802,0.1510200424260685
VDR 21846776 ChIP-Seq THP-1 Human,0.02105857165303744,0.1510200424260685
SMC4 20622854 ChIP-Seq HELA Human,0.023463529523941814,0.1650692696090249
TBX20 22080862 ChIP-Seq HEART Mouse,0.023675273728784446,0.1650692696090249
TBX20 22328084 ChIP-Seq HEART Mouse,0.023675273728784446,0.1650692696090249
TBX4 33478486 ChIP-Seq IMR90 Human Lung,0.025027630798368023,0.1728973026712947
PRDM14 20953172 ChIP-Seq ESCs Human,0.02657035358399149,0.181886147715869
RXR 22108803 ChIP-Seq LS180 Human,0.026984355848713747,0.18305603562235542
STAT6 20620947 ChIP-Seq CD4 POS T Human,0.027799585441300605,0.18589748377099702
POU2F1 27270436 ChIP-Seq LNCaP Human Prostate Carcinoma,0.027896966356072594,0.18589748377099702
CTNNB1 20460455 ChIP-Seq HCT116 Human,0.028559076494407674,0.18715749214186853
E2F7 22180533 ChIP-Seq HELA Human,0.028583149530298647,0.18715749214186853
SOX9 24532713 ChIP-Seq HFSC Mouse,0.029308585119007663,0.18892148355245986
MYC 20876797 ChIP-ChIP MEDULLOBLASTOMA Human,0.029354334097792565,0.18892148355245986
DMRT1 23473982 ChIP-Seq TESTES Mouse,0.029845671522500696,0.1904558530207036
GF1 26923725 Chip-Seq HPCs Mouse,0.031065824892301468,0.19657618608321853
POU5F1 26923725 Chip-Seq MESODERM Mouse,0.03187871223012786,0.1983857050354238
TEAD4 26923725 Chip-Seq HEMANGIOBLAST Mouse,0.03187871223012786,0.1983857050354238
SUZ12 27294783 Chip-Seq NPCs Mouse,0.03226835370393673,0.19916451097593732
STAT3 1855785 ChIP-Seq MESCs Mouse,0.03334763431770462,0.2040118354783447
TAL1 21186366 ChIP-Seq BM-HSCs Mouse,0.033595574501082,0.2040118354783447
