term,p-value,q-value
LINC00273,1.0529773266438547e-23,3.788612421264589e-20
CDH23-AS1,3.9993847170286346e-15,7.194893105934513e-12
NRG1-IT3,2.878376917648979e-14,3.452133383233675e-11
LINC02258,2.7210757507079385e-10,1.9580861102094326e-07
AADACL2-AS1,2.7210757507079385e-10,1.9580861102094326e-07
LINC02010,1.4622092412430097e-09,8.768381416653914e-07
DPP10-AS2,7.456861408207973e-09,3.353723418341536e-06
ZNF790-AS1,7.456861408207973e-09,3.353723418341536e-06
LINC01918,3.6043129111128e-08,1.0806931545153212e-05
LINC00664,3.6043129111128e-08,1.0806931545153212e-05
NRG1-IT1,3.6043129111128e-08,1.0806931545153212e-05
PKNOX2-AS1,3.6043129111128e-08,1.0806931545153212e-05
ZNF571-AS1,1.6489284613117689e-07,3.489908590470438e-05
LINC00662,1.6489284613117689e-07,3.489908590470438e-05
BASP1-AS1,1.6489284613117689e-07,3.489908590470438e-05
LINC02248,1.6489284613117689e-07,3.489908590470438e-05
LINC01858,1.6489284613117689e-07,3.489908590470438e-05
LINC02199,7.129073474331997e-07,0.0001221447921935549
CADM2-AS2,7.129073474331997e-07,0.0001221447921935549
SNCA-AS1,7.129073474331997e-07,0.0001221447921935549
SEMA6A-AS1,7.129073474331997e-07,0.0001221447921935549
LINC01502,2.9080105666937623e-06,0.00038751933403570953
LINC01535,2.9080105666937623e-06,0.00038751933403570953
LINC00446,2.9080105666937623e-06,0.00038751933403570953
LINC00698,2.9080105666937623e-06,0.00038751933403570953
LINC02552,2.9080105666937623e-06,0.00038751933403570953
LHFPL3-AS1,2.9080105666937623e-06,0.00038751933403570953
GABRG3-AS1,1.1171329011683238e-05,0.0010306267124111869
LINC01443,1.1171329011683238e-05,0.0010306267124111869
ZNF528-AS1,1.1171329011683238e-05,0.0010306267124111869
ANK2-AS1,1.1171329011683238e-05,0.0010306267124111869
LINC02210-CRHR1,1.1171329011683238e-05,0.0010306267124111869
TFAP2A-AS1,1.1171329011683238e-05,0.0010306267124111869
LINC02330,1.1171329011683238e-05,0.0010306267124111869
LINC00972,1.1171329011683238e-05,0.0010306267124111869
LINC00500,1.1171329011683238e-05,0.0010306267124111869
LINC01582,1.1171329011683238e-05,0.0010306267124111869
LINC00499,1.1171329011683238e-05,0.0010306267124111869
LINC02735,1.1171329011683238e-05,0.0010306267124111869
LINC01753,4.033687844981258e-05,0.0032251575258316813
LINC00486,4.033687844981258e-05,0.0032251575258316813
LINC01505,4.033687844981258e-05,0.0032251575258316813
LINC01060,4.033687844981258e-05,0.0032251575258316813
STK32A-AS1,4.033687844981258e-05,0.0032251575258316813
LINC01563,4.033687844981258e-05,0.0032251575258316813
LINC02251,0.000136600508811407,0.008057190667269547
ZIC4-AS1,0.000136600508811407,0.008057190667269547
MSH2-OT1,0.000136600508811407,0.008057190667269547
SOX1-OT,0.000136600508811407,0.008057190667269547
POLH-AS1,0.000136600508811407,0.008057190667269547
LINC02622,0.000136600508811407,0.008057190667269547
TMPO-AS1,0.000136600508811407,0.008057190667269547
LINC02143,0.000136600508811407,0.008057190667269547
LINC01438,0.000136600508811407,0.008057190667269547
LINC02226,0.000136600508811407,0.008057190667269547
LINC01069,0.000136600508811407,0.008057190667269547
LINC02765,0.000136600508811407,0.008057190667269547
LINC00404,0.000136600508811407,0.008057190667269547
LINC01034,0.000136600508811407,0.008057190667269547
LINC00297,0.000136600508811407,0.008057190667269547
LINC02196,0.000136600508811407,0.008057190667269547
TMEM147-AS1,0.00043284592956870056,0.017900915569979133
DCTN1-AS1,0.00043284592956870056,0.017900915569979133
ST3GAL6-AS1,0.00043284592956870056,0.017900915569979133
DDX11-AS1,0.00043284592956870056,0.017900915569979133
SEMA6A-AS2,0.00043284592956870056,0.017900915569979133
ZNF793-AS1,0.00043284592956870056,0.017900915569979133
GRM5-AS1,0.00043284592956870056,0.017900915569979133
PRC1-AS1,0.00043284592956870056,0.017900915569979133
ZNF649-AS1,0.00043284592956870056,0.017900915569979133
PTENP1-AS,0.00043284592956870056,0.017900915569979133
CHL1-AS1,0.00043284592956870056,0.017900915569979133
C5orf66-AS2,0.00043284592956870056,0.017900915569979133
SLCO4A1-AS1,0.00043284592956870056,0.017900915569979133
LINC01679,0.00043284592956870056,0.017900915569979133
ST7-AS2,0.00043284592956870056,0.017900915569979133
LINC00518,0.00043284592956870056,0.017900915569979133
LINC00943,0.00043284592956870056,0.017900915569979133
LINC01739,0.00043284592956870056,0.017900915569979133
SGO1-AS1,0.00043284592956870056,0.017900915569979133
LINC01352,0.00043284592956870056,0.017900915569979133
LINC00945,0.00043284592956870056,0.017900915569979133
LINC02751,0.00043284592956870056,0.017900915569979133
LINC02180,0.00043284592956870056,0.017900915569979133
EGFR-AS1,0.00043284592956870056,0.017900915569979133
MRPS9-AS2,0.00043284592956870056,0.017900915569979133
LINC02242,0.00043284592956870056,0.017900915569979133
TGFB2-AS1,0.0012800635228511995,0.04004929178450971
RORB-AS1,0.0012800635228511995,0.04004929178450971
DST-AS1,0.0012800635228511995,0.04004929178450971
DLX6-AS1,0.0012800635228511995,0.04004929178450971
IDI2-AS1,0.0012800635228511995,0.04004929178450971
AQP4-AS1,0.0012800635228511995,0.04004929178450971
EPHA5-AS1,0.0012800635228511995,0.04004929178450971
MIR124-2HG,0.0012800635228511995,0.04004929178450971
ARHGAP5-AS1,0.0012800635228511995,0.04004929178450971
LINC00602,0.0012800635228511995,0.04004929178450971
SEPTIN4-AS1,0.0012800635228511995,0.04004929178450971
UBL7-AS1,0.0012800635228511995,0.04004929178450971
LINC01224,0.0012800635228511995,0.04004929178450971
ST7-OT4,0.0012800635228511995,0.04004929178450971
LINC00644,0.0012800635228511995,0.04004929178450971
LINC00565,0.0012800635228511995,0.04004929178450971
LINC00304,0.0012800635228511995,0.04004929178450971
LINC02586,0.0012800635228511995,0.04004929178450971
LINC02587,0.0012800635228511995,0.04004929178450971
LINC01103,0.0012800635228511995,0.04004929178450971
LINC01777,0.0012800635228511995,0.04004929178450971
LINC02521,0.0012800635228511995,0.04004929178450971
LINC01877,0.0012800635228511995,0.04004929178450971
LINC01096,0.0012800635228511995,0.04004929178450971
LINC00920,0.0012800635228511995,0.04004929178450971
LINC02119,0.0012800635228511995,0.04004929178450971
LINC02110,0.0012800635228511995,0.04004929178450971
LINC01366,0.0012800635228511995,0.04004929178450971
CADM3-AS1,0.0035231855353655295,0.0845094770416345
LINC02074,0.0035231855353655295,0.0845094770416345
LINC01726,0.0035231855353655295,0.0845094770416345
OSTM1-AS1,0.0035231855353655295,0.0845094770416345
BOLA3-AS1,0.0035231855353655295,0.0845094770416345
MYT1L-AS1,0.0035231855353655295,0.0845094770416345
PTPRD-AS2,0.0035231855353655295,0.0845094770416345
GDNF-AS1,0.0035231855353655295,0.0845094770416345
GRM3-AS1,0.0035231855353655295,0.0845094770416345
CCDC144NL-AS1,0.0035231855353655295,0.0845094770416345
LURAP1L-AS1,0.0035231855353655295,0.0845094770416345
