term,p-value,q-value
CJUN 26792858 Chip-Seq BT549 Human,1.7938155392272415e-18,1.3489492854988856e-15
ATF3 23680149 ChIP-Seq GBM1-GSC Human,8.314011382520488e-17,3.1260682798277034e-14
FOSL1 28411283 ChIP-Seq MDA231-LM2-4175 Human BreastCancer,1.0525755655339652e-14,2.1620511812041865e-12
SOX2 20726797 ChIP-Seq SW620 Human,1.1500272240447801e-14,2.1620511812041865e-12
JUN 26020271 ChIP-Seq HCASMC Human CoronaryArtery,1.068478265705671e-11,1.6069913116213293e-09
TCF21 26020271 ChIP-Seq SMOOTH MUSCLE Human,2.022608327244561e-11,2.535002436813183e-09
JUN 26020271 ChIP-Seq SMOOTH MUSCLE Human,1.3664667724858512e-10,1.4679757327276574e-08
JUND 26020271 ChIP-Seq SMOOTH MUSCLE Human,2.5588086718520105e-10,2.4052801515408897e-08
JUND 26020271 ChIP-Seq HCASMC Human CoronaryArtery,1.761614271886247e-08,1.4719265916205084e-06
NRF2 31884422 ChIP-Seq A549 Human Lung Carcinoma,1.9990135426079254e-08,1.5032581840411599e-06
SMAD3 18955504 ChIP-ChIP HaCaT Human,1.4063734595309081e-07,8.813273679727024e-06
SMAD2 18955504 ChIP-ChIP HaCaT Human,1.4063734595309081e-07,8.813273679727024e-06
Nerf2 26677805 Chip-Seq MACROPHAGESS Mouse,4.774628394252194e-07,2.7619388865212692e-05
NFE2L2 20460467 ChIP-Seq MEFs Mouse,8.979566158490291e-07,4.501755834123132e-05
NRF2 20460467 ChIP-Seq MEFs Mouse,8.979566158490291e-07,4.501755834123132e-05
TCF21 26020271 ChIP-Seq HCASMC Human CoronaryArtery,2.356729218279248e-06,0.00011076627325912465
LEF1 29337183 ChIP-Seq mESC Mouse Stem,8.452411392206118e-06,0.0003738949039375883
CEBPD 21427703 ChIP-Seq 3T3-L1 Mouse,1.2481924904112292e-05,0.0004736230612473457
ESR2 21235772 ChIP-Seq MCF-7 Human,1.276220789504376e-05,0.0004736230612473457
RELA 24523406 ChIP-Seq FIBROSARCOMA Human,1.3572327680269247e-05,0.0004736230612473457
BRD4 25478319 ChIP-Seq HGPS Human,1.3610364407191e-05,0.0004736230612473457
ELF3 26769127 Chip-Seq PDAC-Cell Line Human,1.3855993813087241e-05,0.0004736230612473457
BACH1 22875853 ChIP-PCR HELA AND SCP4 Human,1.8443224775629133e-05,0.0006030132622292657
FOXA1 27270436 ChIP-Seq LNCaP Human Prostate Carcinoma,3.754875962980028e-05,0.001176527801733742
EVI1 22308434 ChIP-Seq SKOV3 Human Ovary OvarianCancer,4.882457432989775e-05,0.0014686431958433244
SMAD4 19686287 ChIP-ChIP HaCaT Human,9.169081346030358e-05,0.0026097329519896412
HAND2 30127528 ChIP-Seq KELLY Human Brain Neuroblastoma,9.370051822303233e-05,0.0026097329519896412
POU2F1 35413990 ChIP-Seq Human ARposCRProstateCancer,0.0001092055649635418,0.002932949459020837
STAT1 19122651 ChIP-Seq HeLaS3 Human CervicalCancer,0.000178141357309747,0.004619389679204474
P300 27058665 Chip-Seq ZR-75-30cells Human,0.0002092868386492356,0.00512469013245685
ATF3 27146783 Chip-Seq COLON Human,0.00021264788451735603,0.00512469013245685
GATA3 24758297 ChIP-Seq MCF-7 Human,0.0002180719205300787,0.00512469013245685
FOXO1 32281255 ChIP-Seq Chondrocytes Human Osteoarthritis,0.00026714246836499517,0.006087610188196254
WT1 19549856 ChIP-ChIP CCG9911 Human,0.00029879395486402416,0.006608619236992535
CEBPD 23245923 ChIP-Seq MEFs Mouse,0.000318271801119854,0.006838296984060863
FOXM1 32153563 ChIP-Seq SKOV3 Human Ovary OvarianCancer,0.00041897476197906867,0.008751917250229434
FOXA1 26769127 Chip-Seq PDAC-Cell Line Human,0.0004426752234162698,0.008997074811054996
PRDM5 23873026 ChIP-Seq MEFs Mouse,0.0004684995091354278,0.009271358707101099
SMARCA4 20176728 ChIP-ChIP TSCs Mouse,0.0004813934517767871,0.00928225322400369
GATA4 25053715 ChIP-Seq YYC3 Human,0.0007358248404512319,0.01383350700048316
ESR1 17901129 ChIP-ChIP LIVER Mouse,0.0009077830788243407,0.01665007012868059
TRIM28 21343339 ChIP-Seq HEK293 Human,0.00093830448003851,0.01680011830926094
EOMES 20176728 ChIP-ChIP TSCs Mouse,0.0009699694430624239,0.016963186539138204
FOXA1 27270436 ChIP-Seq VCaP Human Prostate Carcinoma,0.0011567744655897171,0.0197703272300788
CLOCK 20551151 ChIP-Seq 293T Human,0.0018002165123528159,0.029643166092260753
ER 23166858 ChIP-Seq MCF-7 Human,0.0018132787769202055,0.029643166092260753
RARG 19884340 ChIP-ChIP MEFs Mouse,0.002054146014629122,0.03286633623406595
TP63 30713093 ChIP-Seq Epithelial Human Tongue SCC,0.0022662588569309717,0.03550472209191855
EGR1 23403033 ChIP-Seq LIVER Mouse,0.0024839384786934423,0.037661007318390276
STAT5A 24692510 ChIP-Seq Epithelium Mouse Mammary,0.002504056337658928,0.037661007318390276
NANOG 16153702 ChIP-ChIP HESCs Human,0.0029223158186131924,0.043089833247002364
TRP63 18441228 ChIP-ChIP KERATINOCYTES Mouse,0.003674714690312403,0.0523521122250044
FOXP2 23625967 ChIP-Seq PFSK-1 AND SK-N-MC Human,0.0037200532800313484,0.0523521122250044
RACK7 27058665 Chip-Seq MCF-7 Human,0.0037672687551347757,0.0523521122250044
CTNNB1 20460455 ChIP-Seq HCT116 Human,0.003828944378158567,0.0523521122250044
AR 27270436 ChIP-Seq VCaP Human Prostate Carcinoma,0.0040359271871345985,0.054181243812228906
NR3C1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation,0.004106823001724797,0.054181243812228906
ESR1 21235772 ChIP-Seq MCF-7 Human,0.004520770740795637,0.05861413098410895
IRF8 27001747 Chip-Seq BMDM Mouse,0.00473367918418553,0.06033435163572065
MYB 26560356 Chip-Seq TH2 Human,0.004905422524362055,0.06148129563867109
SOX2 30713093 ChIP-Seq Epithelial Human Tongue SCC,0.005578781978898784,0.06800002275856144
TAF7L 23326641 ChIP-Seq C3H10T1-2 Mouse,0.005606384855094161,0.06800002275856144
STAT4 19710469 ChIP-ChIP TH1 Mouse,0.006270087469462351,0.07484294884183632
POU3F1 26484290 ChIP-Seq ESCss Mouse,0.007673709178569602,0.09016608284819282
ISL1 30127528 ChIP-Seq BE2C Human Brain Neuroblastoma,0.008054527932014248,0.09318469238268791
NFKB1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation,0.00840134357364116,0.09572439950572957
PPARG 20887899 ChIP-Seq 3T3-L1 Mouse,0.008900050969711951,0.09989310939139384
NR1I2 20693526 ChIP-Seq LIVER Mouse,0.009554818920342874,0.10566505629555649
NCOR 22465074 ChIP-Seq MACROPHAGES Mouse,0.010042426244181451,0.10944789182064422
SMAD 19615063 ChIP-ChIP OVARY Human,0.01045864125171758,0.11235568887559456
MEIS1 26923725 Chip-Seq HEMOGENIC-ENDOTHELIUM Mouse,0.011714427200002136,0.124073933160586
AR 35413990 ChIP-Seq Human ARposCRProstateCancer,0.012010930640633572,0.12544749780217287
IRF4 20064451 ChIP-Seq CD4+T Mouse,0.012958502952863545,0.13168640838585655
CBP 20019798 ChIP-Seq JUKART Human,0.012958502952863545,0.13168640838585655
MYB 21317192 ChIP-Seq ERMYB Mouse,0.01387108726720194,0.13850665504357104
MECOM 23826213 ChIP-Seq KASUMI Mouse,0.014134518982815602,0.13850665504357104
ELK3 25401928 ChIP-Seq HUVEC Human,0.01419114504546441,0.13850665504357104
TFAP2A 35110662 ChIP-Seq HEPM Human Embryo,0.01436638177313636,0.13850665504357104
AR 27270436 ChIP-Seq LNCaP Human Prostate Carcinoma,0.014594603535174491,0.13892584630950908
FOXM1 26456572 ChIP-Seq MCF-7 Human,0.014966716394703011,0.13907269079762896
SALL4 22934838 ChIP-ChIP CD34+ Human,0.014979904194957374,0.13907269079762896
HSF1 23293686 ChIP-Seq STHDH STRIATAL Mouse,0.015568662608934374,0.1427760278282762
NFE2L2 22581777 ChIP-Seq LYMPHOBLASTOID Human,0.016060085372284136,0.145508243372984
HNF1A 26855178 ChIP-Seq Caco2 Human Colon Adenocarcinoma,0.016430731935202333,0.146935164758959
UBF1/2 26484160 Chip-Seq HMEC-DERIVED Human,0.016615893377241012,0.146935164758959
SMAD1 26771354 ChIP-Seq mESC Mouse Stem,0.016888131874123465,0.146935164758959
TAF15 26573619 Chip-Seq HEK293 Human,0.016999148050571056,0.146935164758959
NR3C1 21868756 ChIP-Seq MCF10A Human,0.017968162250545785,0.15354568527798446
GF1B 26923725 Chip-Seq HPCs Mouse,0.01817229519912316,0.15354568527798446
MAF 26560356 Chip-Seq TH1 Human,0.020616800278935615,0.17226482010843983
KLF6 26769127 Chip-Seq PDAC-Cell Line Human,0.021402114286566774,0.17686142795052984
